avgHourlyAirTemp,IMF1 avgHourlyAirTemp,IMF2 avgHourlyAirTemp,IMF3 avgHourlyAirTemp,IMF4 avgHourlyAirTemp,IMF5 avgHourlyAirTemp,IMF Res avgHourlyAirTemp,avgHourlyHumidity,IMF1 avgHourlyHumidity,IMF2 avgHourlyHumidity,IMF3 avgHourlyHumidity,IMF4 avgHourlyHumidity,IMF5 avgHourlyHumidity,IMF Res avgHourlyHumidity,avgHourlyRainfallRate,IMF1 avgHourlyRainfallRate,IMF2 avgHourlyRainfallRate,IMF3 avgHourlyRainfallRate,IMF4 avgHourlyRainfallRate,IMF5 avgHourlyRainfallRate,IMF Res avgHourlyRainfallRate,avgHourlyBarometricPressure,IMF1 avgHourlyBarometricPressure,IMF2 avgHourlyBarometricPressure,IMF3 avgHourlyBarometricPressure,IMF4 avgHourlyBarometricPressure,IMF5 avgHourlyBarometricPressure,IMF Res avgHourlyBarometricPressure
-2.86,-276.3086274,-2.785640062,-2.761184092,5.042077299,2.861140964,271.0922333,91.29,276.2269132,-453.8130295,-9.138089713,2.00484511,3.152211572,272.8571494,0,-276.1456049,9.316450152,-7.005822906,-2.415945214,1.841464667,274.4094582,1008.23,276.1300027,455.9099162,7.839810835,-5.971136002,-1.015261208,275.3366674
-1.62,-275.9584032,-7.575301036,12.46217944,-1.980329412,-3.831879957,275.2637342,86.14,275.2210664,-459.9838791,-4.56161028,6.06231366,-4.592392322,273.9945016,0,-273.6554926,12.13704151,-14.47651344,7.206250729,-3.25291568,272.0416295,1007.91,271.4528634,465.1143321,-0.117177766,1.114611479,0.132913724,270.212457
-2.08,-269.2518714,-13.63486151,14.79329185,-6.42118767,3.398664435,269.0359643,68.58,267.7803936,-469.9606689,5.155617002,-8.254361313,5.268435199,268.5905844,0,-267.4084934,7.521693612,-13.06503545,0.914783206,3.172782732,268.8642693,1008.04,267.9561429,473.3630197,-9.30167067,8.120550233,-1.495491018,269.3974488
-2.6,-268.8769239,-9.498718448,7.451320874,3.347729542,-4.999177177,269.9757691,65.57,269.6294083,-474.8865872,8.867660073,-4.552665694,-3.868165494,270.3803499,0,-269.938182,7.143587009,-0.653557767,-6.482853623,0.022472061,269.9085343,1009.45,269.8034083,474.9498375,-5.628188258,-1.685776126,3.469691723,268.5410269
-1.53,-269.3504858,-2.070550258,-3.47428634,2.890395517,3.612003001,266.8629238,63.26,268.7009217,-474.4657499,-1.353692388,3.730187365,-0.134968784,266.783302,0,-267.9551437,1.824935596,0.367950341,0.045671605,-2.333327412,268.0499136,1008.9,267.2379192,474.2635047,0.8922874,-1.664636375,-1.829767309,270.0006924
-0.55,-266.7053895,-2.960425586,1.317515325,-1.494528269,1.092700925,268.2001271,58.61,266.4765905,-474.6775668,1.214573522,-0.261819625,0.673950287,265.1842721,0,-266.5495241,1.670683911,-0.18942463,0.05630707,-0.436285602,265.4482433,1009.8,266.7895318,475.5241068,0.08595188,0.277964937,-0.060560539,267.1830051
0.07,-267.0111157,-2.53256035,0.695178151,0.080500878,0.388545885,268.4494511,57.46,267.087547,-476.395458,-1.934507187,0.156151249,0.003539474,268.5427274,0,-267.0042679,2.846803823,-2.187728405,-0.409826802,-1.001683897,267.7567032,1010.46,266.8294093,477.0186102,2.009538083,-0.695714898,-0.904124452,266.2022818
0.94,-266.6402402,-1.441646454,3.54970077,0.1053678,0.146554884,265.2202632,55.41,266.4630588,-477.4423681,-1.00519661,0.711606118,1.482288634,265.2006112,0,-266.2600468,2.419109516,-4.206689472,0.166881349,1.770644493,266.1101009,1010.4,265.9613611,477.9699803,-0.493396962,-0.55277398,0.431665865,267.0831637
1.73,-265.5155697,-1.672285106,3.952301403,-0.449088281,-1.763129925,267.1777716,51.8,264.9266348,-478.9093891,1.820156723,0.408816296,-2.692232734,266.2460141,0,-264.2616506,1.804270179,-2.834965665,0.840262386,-1.024631409,265.4767151,1008.62,263.6338853,480.2973364,-2.294407739,-0.234879205,2.046903247,265.1711621
1.9,-263.1708089,-2.788506933,1.246719073,-2.0599951,3.321804396,265.3507875,47.61,262.97044,-481.7634862,1.407578488,-2.21622939,1.899788484,265.3119086,0,-263.0512485,-0.076643259,0.106883582,-1.474021696,-0.772083637,265.2671135,1008.29,263.3153655,482.6470792,0.037173912,-0.086646372,-2.789777512,265.1668053
1.27,-263.5569111,1.331934689,-0.512880931,2.577058775,-3.530588188,264.9613868,46.16,263.5421655,-482.3580877,-1.527151351,4.404038124,-2.547893487,264.6469289,0,-263.155622,-2.79550364,-1.682644878,3.744214134,-0.383568297,264.2731247,1008.72,262.5432357,480.8133883,-1.058735197,0.663897953,1.905656467,263.8525568
0.55,-262.1292018,-0.676732725,0.078267373,-3.244378917,3.124238001,263.3978081,45.54,262.4161413,-478.6714732,2.105203174,-6.468255653,3.186210107,262.9721743,0,-263.6341193,0.633076784,4.89640507,-6.539920639,1.756657016,262.887901,1009.62,265.4751304,477.1504763,5.816388497,-0.37922246,-1.727309196,263.2845365
-0.1,-267.1555325,-0.588621033,0.237447369,6.10889519,-2.635504133,263.9333151,51.09,267.8297452,-477.4566922,-9.393573138,7.087034135,-1.538372862,264.5618589,0,-267.0960264,10.26914144,-9.639013163,1.804055173,0.618775528,264.0430674,1010.58,265.2380951,480.1271157,7.31190939,-6.627718464,1.925883878,262.6047145
